amount,hour,distance_from_home,merchant_risk,device_trust,international,velocity_24h,account_age_days,is_fraud
25.72,12,20.44,0.932,0.2,0,3,2822,0
82.87,9,80.08,0.069,0.848,0,8,600,0
12.16,22,24.76,0.377,0.449,0,10,1671,0
32.34,11,54.42,0.812,0.594,0,2,1046,0
20.11,1,37.27,0.645,0.647,0,6,1793,1
17.25,23,32.92,0.581,0.575,0,7,1926,0
47.4,11,273.42,0.483,0.295,0,2,505,0
61.25,10,27.34,0.207,0.483,0,8,2987,0
25.09,22,5.5,0.849,0.648,0,3,1029,0
40.98,13,143.15,0.232,0.405,0,7,1650,1
45.03,18,25.26,0.004,0.215,0,2,2394,0
71.32,10,9.88,0.114,0.671,0,6,2475,0
30.66,11,84.05,0.617,0.814,0,5,2546,0
52.74,7,16.4,0.183,0.693,0,7,2472,0
29.72,20,34.69,0.919,0.931,0,3,2035,0
133.59,0,29.83,0.195,0.384,0,8,1705,0
16.97,15,8.24,0.565,0.796,0,1,1155,0
8.98,18,61.06,0.766,0.55,1,2,1127,0
77.06,1,64.22,0.441,0.219,0,4,1249,0
14.51,2,26.02,0.994,0.776,0,10,2852,1
84.51,5,43.09,0.785,0.814,0,10,1466,1
43.37,22,15.58,0.573,0.952,0,2,585,0
10.33,7,64.5,0.676,0.489,0,5,2601,0
30.23,2,23.2,0.75,0.695,0,8,2029,1
129.18,14,45.33,0.697,0.85,0,7,922,0
93.45,10,79.3,0.338,0.578,0,8,1437,0
112.93,0,5.97,0.858,0.441,1,7,858,0
3.67,8,4.41,0.36,0.082,0,3,242,0
14.24,7,25.23,0.091,0.095,0,2,573,0
38.52,0,53.52,0.817,0.988,0,3,1986,1
19.43,3,4.9,0.368,0.299,0,3,2657,0
12.07,0,42.41,0.164,0.351,0,3,1716,0
32.87,3,6.79,0.123,0.73,0,7,1318,0
13.0,7,36.27,0.6,0.608,0,1,2726,0
12.27,6,62.0,0.296,0.055,0,4,2057,0
12.89,2,33.81,0.978,0.987,0,3,1614,0
42.83,21,8.54,0.471,0.987,1,10,306,1
108.5,9,44.57,0.501,0.415,0,2,2653,0
46.26,9,3.7,0.921,0.974,1,6,1630,0
109.53,20,3.08,0.699,0.73,0,1,1031,0
30.73,19,2.55,0.666,0.658,0,1,2929,0
23.03,23,13.5,0.372,0.75,0,2,150,0
29.48,8,56.07,0.577,0.077,0,6,257,0
42.7,8,66.79,0.894,0.674,1,9,40,1
73.74,15,20.36,0.92,0.179,0,1,2294,0
90.6,7,17.47,0.416,0.72,0,2,2371,0
37.73,5,11.36,0.516,0.046,0,8,1186,0
27.05,14,0.36,0.201,0.564,0,10,1023,0
47.65,6,59.33,0.547,0.796,1,7,127,1
9.06,0,135.71,0.001,0.657,0,5,455,1
123.25,1,161.81,0.142,0.28,1,4,2158,1
106.18,23,3.99,0.096,0.134,0,2,2454,0
2.59,7,15.52,0.851,0.926,0,6,1332,0
32.88,3,34.55,0.965,0.208,0,5,521,1
69.73,22,53.71,0.04,0.836,0,2,2942,0
23.75,21,15.98,0.82,0.174,0,8,2307,0
18.58,4,5.83,0.062,0.781,0,4,1670,0
62.47,18,39.7,0.917,0.075,0,4,2675,0
75.07,1,128.35,0.051,0.924,0,7,2062,1
50.55,6,107.52,0.275,0.446,1,10,2566,0
56.18,17,29.34,0.088,0.383,0,9,1050,0
23.31,15,18.97,0.566,0.322,0,1,1336,0
6.89,15,33.92,0.767,1.0,0,2,1045,0
5.74,23,2.59,0.996,0.219,0,7,1483,0
20.84,23,53.82,0.914,0.028,0,10,2338,1
39.43,1,4.26,0.233,0.219,0,1,1388,0
22.18,22,8.79,0.802,0.868,1,3,2432,0
38.88,2,21.05,0.942,0.396,1,5,1351,1
47.63,17,53.22,0.929,0.787,0,10,748,1
59.36,5,58.73,0.949,0.949,0,10,162,1
9.15,19,11.23,0.566,0.937,1,2,1004,0
17.75,2,77.58,0.67,0.729,0,1,1116,0
56.47,3,57.35,0.048,0.438,0,3,1725,0
24.79,3,79.42,0.789,0.578,0,4,696,0
15.25,12,7.89,0.075,0.942,0,6,2463,0
27.41,19,99.23,0.157,0.101,0,4,1706,0
121.4,8,48.63,0.297,0.096,0,9,2040,1
25.67,9,78.15,0.625,0.48,1,4,729,0
137.2,3,16.59,0.397,0.489,0,2,2659,0
25.96,8,26.07,0.263,0.837,0,3,2882,0
14.58,17,24.05,0.756,0.228,1,7,2170,1
54.0,15,38.26,0.236,0.299,0,1,2086,0
38.75,19,7.18,0.949,0.449,0,3,897,0
14.22,21,25.72,0.997,0.627,0,5,1339,0
27.92,10,87.4,0.52,0.917,1,10,2436,0
29.96,4,37.62,0.583,0.965,1,2,2334,0
13.51,18,42.25,0.037,0.275,1,10,2818,0
26.52,23,29.01,0.269,0.372,0,5,1303,0
35.16,3,161.71,0.228,0.3,0,6,1133,0
43.3,14,10.69,0.824,0.741,0,6,260,0
17.78,16,23.24,0.781,0.524,0,3,819,0
28.38,11,78.05,0.505,0.635,1,1,1020,0
43.24,15,39.78,0.35,0.164,0,2,1197,1
61.52,7,46.91,0.678,0.269,0,1,2824,1
200.68,19,72.62,0.224,0.608,0,5,1765,0
94.41,6,28.29,0.677,0.824,0,2,60,0
165.78,11,37.09,0.594,0.283,0,8,291,1
22.58,8,13.62,0.711,0.892,0,3,2148,0
110.21,21,17.33,0.14,0.025,0,5,1092,0
21.58,18,55.41,0.572,0.19,0,4,2841,0
60.87,5,82.65,0.876,0.181,1,3,1089,0
98.02,21,103.43,0.654,0.222,0,5,1752,0
26.24,9,28.04,0.118,0.054,0,10,2572,1
114.07,21,21.63,0.298,0.054,0,3,850,0
69.74,2,30.09,0.631,0.177,0,1,1881,1
57.86,5,30.26,0.764,0.088,0,7,1682,1
35.41,17,10.01,0.373,0.014,0,9,810,1
26.97,16,39.98,0.167,0.824,0,5,1897,0
45.25,21,242.89,0.343,0.901,0,4,705,0
101.71,7,11.43,0.985,0.211,1,9,722,1
160.92,12,94.13,0.256,0.535,1,1,2741,0
13.35,3,35.66,0.474,0.153,0,1,1263,0
10.88,19,41.87,0.137,0.831,1,10,512,1
83.66,19,10.03,0.263,0.523,0,7,1239,1
80.08,22,121.72,0.331,0.003,0,2,2381,0
38.93,3,105.82,0.644,0.457,0,5,1931,1
81.68,21,16.87,0.739,0.095,0,1,69,0
48.77,11,101.22,0.955,0.268,0,6,1433,1
21.29,15,72.4,0.649,0.797,1,1,682,1
116.65,18,51.05,0.181,0.38,0,1,2833,0
34.88,13,26.15,0.063,0.655,1,9,2391,0
113.46,22,54.27,0.095,0.662,0,6,2748,0
12.9,17,100.18,0.613,0.012,0,9,1952,0
36.02,8,2.32,0.223,0.643,0,4,352,0
81.12,15,26.66,0.119,0.497,0,2,1682,0
8.11,19,45.67,0.89,0.562,0,8,1426,1
15.86,14,18.15,0.767,0.6,0,6,2962,0
6.55,0,18.79,0.83,0.964,0,9,1561,0
5.74,23,23.68,0.254,0.196,1,7,913,0
155.86,3,63.69,0.047,0.633,0,2,1875,0
47.59,15,0.2,0.736,0.553,0,10,2008,0
51.34,4,4.92,0.658,0.606,0,7,1744,0
128.24,4,6.69,0.603,0.886,0,9,1315,0
11.47,9,52.21,0.921,0.133,0,3,2093,0
72.9,11,37.18,0.583,0.943,0,9,1201,0
32.63,3,1.15,0.145,0.67,0,3,1203,0
61.62,17,1.48,0.814,0.102,0,9,948,0
41.15,22,15.26,0.664,0.926,0,6,2291,1
57.16,14,79.73,0.911,0.705,0,10,2268,0
7.32,6,15.68,0.177,0.683,0,3,2134,0
14.45,8,6.27,0.584,0.255,0,3,193,1
27.87,20,43.02,0.662,0.491,0,6,328,0
26.04,5,33.09,0.786,0.159,0,7,406,1
192.6,10,20.14,0.218,0.753,0,9,2689,1
57.08,20,42.8,0.621,0.959,0,6,1592,0
105.28,17,57.93,0.025,0.517,0,9,2113,0
14.55,3,8.24,0.956,0.538,1,2,893,0
32.35,17,79.41,0.879,0.741,0,2,2840,0
33.48,2,3.42,0.178,0.252,1,4,1089,0
32.47,10,0.77,0.673,0.535,0,10,289,0
55.55,2,19.92,0.503,0.29,0,10,384,1
100.07,21,1.41,0.156,0.22,0,9,1238,0
7.33,23,46.98,0.957,0.011,0,3,534,1
43.6,17,132.17,0.305,0.748,0,6,897,0
56.63,5,9.15,0.617,0.253,1,10,252,0
32.28,9,50.12,0.251,0.197,0,6,1492,1
47.08,19,3.26,0.193,0.486,0,5,2870,0
42.54,10,143.37,0.169,0.313,0,7,1163,0
102.09,11,67.08,0.487,0.109,0,2,1179,0
11.73,8,59.51,0.627,0.727,0,9,2617,1
44.73,18,10.77,0.037,0.261,0,9,1963,0
15.75,18,59.46,0.291,0.465,0,7,1520,0
174.24,19,51.86,0.757,0.14,1,10,2347,1
35.25,7,64.5,0.232,0.264,0,4,2151,0
24.99,14,96.0,0.04,0.649,1,9,2625,0
71.01,17,38.0,0.377,0.379,0,2,2146,0
17.27,11,30.02,0.482,0.604,0,3,1831,0
21.82,11,41.46,0.817,0.661,0,6,2980,1
59.77,18,7.91,0.833,0.022,1,10,2456,1
44.55,18,7.15,0.166,0.922,0,7,2484,0
190.91,23,48.78,0.283,0.086,0,8,2002,1
122.35,18,77.28,0.182,0.66,0,6,1887,0
13.31,4,5.17,0.202,0.86,0,7,642,0
120.37,17,31.49,0.118,0.482,1,10,2238,0
57.7,11,93.51,0.698,0.429,0,8,1591,1
116.74,13,6.47,0.477,0.233,0,5,2480,0
31.05,22,61.25,0.007,0.523,0,7,2711,0
77.52,3,7.57,0.652,0.254,0,7,2342,1
13.14,6,23.99,0.784,0.482,0,9,2011,1
23.81,22,22.85,0.138,0.864,1,4,1859,0
38.74,17,42.84,0.685,0.052,0,1,403,0
33.0,2,2.98,0.222,0.08,1,7,1671,0
40.7,19,2.66,0.774,0.175,0,1,856,0
134.77,6,1.54,0.6,0.516,0,3,2790,1
68.75,12,23.4,0.2,0.015,0,2,2281,0
15.99,6,27.29,0.404,0.005,0,9,466,0
36.86,3,73.09,0.957,0.876,0,10,1054,0
185.52,14,51.5,0.897,0.862,0,5,306,0
62.8,22,11.76,0.316,0.955,0,1,2900,0
24.42,21,62.17,0.342,0.555,0,6,1478,0
41.74,23,51.71,0.91,0.499,0,4,1117,1
20.54,19,19.8,0.779,0.12,1,8,2544,1
82.03,10,30.51,0.985,0.897,0,8,779,0
85.02,7,62.41,0.128,0.526,0,9,163,0
22.33,5,27.5,0.12,0.518,0,1,78,0
30.1,11,42.69,0.26,0.549,0,8,2541,0
16.44,13,54.29,0.372,0.854,0,3,2370,0
42.24,3,57.41,0.804,0.555,0,4,627,0
70.81,0,8.74,0.5,0.996,0,9,2217,0
66.32,17,88.0,0.048,0.099,0,4,1071,0
51.64,10,13.54,0.36,0.557,0,6,111,0
18.58,19,9.98,0.576,0.649,0,5,1484,0
39.16,14,99.18,0.381,0.287,0,3,716,0
107.86,19,38.15,0.849,0.071,0,4,1314,1
24.16,20,22.65,0.888,0.781,0,10,2163,0
31.38,0,6.01,0.235,0.252,0,2,892,1
124.32,0,66.32,0.524,0.996,1,10,666,1
102.66,7,12.79,0.284,0.626,1,3,147,1
3.11,15,28.33,0.871,0.935,0,3,2887,0
46.7,23,45.46,0.564,0.523,0,5,1452,0
23.64,9,20.49,0.26,0.304,1,3,1438,0
43.12,15,132.15,0.477,0.009,0,5,2475,1
11.62,13,96.23,0.437,0.25,0,7,1579,1
7.12,16,65.08,0.91,0.808,0,5,2686,0
78.81,2,9.06,0.29,0.637,0,5,2899,0
8.92,5,161.44,0.282,0.125,0,1,983,1
21.27,15,278.84,0.464,0.791,0,3,259,0
25.96,5,9.6,0.842,0.817,0,2,2957,0
74.44,23,234.43,0.199,0.735,1,4,1966,0
5.86,23,124.71,0.521,0.253,0,4,1506,0
72.09,3,12.11,0.434,0.015,0,10,520,1
53.64,22,40.81,0.371,0.089,1,2,2839,0
44.44,20,7.52,0.536,0.107,0,6,2317,0
250.82,14,59.45,0.021,0.378,0,5,191,0
32.16,22,30.31,0.567,0.544,0,8,1157,0
102.71,5,3.21,0.155,0.296,0,6,1889,1
50.61,5,96.53,0.62,0.364,0,6,2983,1
8.78,17,7.53,0.283,0.41,0,2,2173,0
18.01,1,38.08,0.836,0.658,0,10,1078,1
8.64,0,119.8,0.209,0.491,0,2,1947,0
8.59,13,77.68,0.794,0.058,0,9,196,0
15.45,3,58.12,0.532,0.189,0,4,2364,0
5.66,13,61.69,0.766,0.577,0,7,456,1
16.8,10,48.22,0.534,0.6,0,6,2283,0
24.36,20,25.34,0.726,0.608,0,4,1566,0
84.19,14,26.7,0.397,0.726,0,10,96,0
25.17,10,0.99,0.822,0.69,0,9,2124,0
12.86,4,13.85,0.89,0.25,0,5,406,0
41.62,2,57.86,0.793,0.173,0,10,420,1
12.41,18,21.62,0.78,0.922,0,7,1736,0
44.87,16,1.89,0.54,0.15,0,4,657,1
63.83,14,62.9,0.575,0.09,0,7,636,1
8.84,1,35.75,0.263,0.399,0,3,582,0
17.67,18,9.82,0.616,0.736,0,2,1120,0
30.84,10,19.01,0.655,0.77,0,6,2554,0
118.13,14,2.07,0.818,0.2,0,2,490,0
13.62,4,91.38,0.82,0.014,0,2,1279,1
39.24,16,62.45,0.549,0.623,0,1,1572,0
46.96,5,2.79,0.201,0.697,0,8,2711,0
29.12,9,90.92,0.649,0.231,0,2,1322,0
42.75,6,31.25,0.458,0.926,1,4,2198,0
34.56,0,19.16,0.352,0.625,0,9,1159,0
165.99,0,129.82,0.949,0.226,0,7,2720,1
73.66,21,42.66,0.626,0.227,0,3,1776,0
89.19,17,6.36,0.652,0.581,0,4,595,0
68.59,4,25.3,0.909,0.77,0,10,677,1
186.19,3,9.16,0.84,0.146,1,6,1725,0
11.86,20,121.81,0.274,0.779,1,3,137,0
45.73,18,42.65,0.596,0.231,1,2,2848,0
32.14,5,86.01,0.491,0.138,0,1,1703,0
22.37,6,63.81,0.066,0.927,0,10,2036,0
22.83,19,59.82,0.38,0.313,0,10,2462,0
73.47,1,33.09,0.452,0.827,1,4,2154,0
18.19,1,9.47,0.44,0.884,0,5,1919,1
31.5,2,57.71,0.113,0.779,0,9,584,0
28.11,14,40.16,0.713,0.202,0,5,1357,0
52.63,3,55.12,0.634,0.085,0,9,2537,0
27.51,5,109.5,0.565,0.66,1,3,762,0
14.22,23,65.87,0.446,0.626,1,3,860,1
36.35,0,42.14,0.493,0.217,0,8,1709,1
79.2,20,36.69,0.825,0.049,1,6,180,1
45.84,2,2.26,0.417,0.178,0,10,2737,0
70.18,5,152.55,0.749,0.36,1,5,1352,1
30.29,13,83.41,0.065,0.471,1,5,1378,0
41.19,19,2.7,0.571,0.979,0,2,2011,0
75.29,22,15.23,0.609,0.316,0,10,1479,0
50.95,23,44.97,0.493,0.18,0,5,822,1
30.32,17,73.81,0.212,0.641,0,5,307,0
37.13,0,5.44,0.333,0.396,0,1,749,0
34.54,1,46.69,0.481,0.627,0,9,1402,1
9.47,18,58.09,0.316,0.536,0,6,1478,1
25.14,17,83.15,0.571,0.39,0,5,2918,0
55.7,2,30.93,0.238,0.452,0,4,2180,0
33.65,15,105.9,0.154,0.34,0,9,1301,0
49.26,23,1.68,0.388,0.865,1,5,210,0
42.55,14,99.0,0.103,0.766,0,1,2395,0
